id,title,source,classification_humaine,notes
"mock-19","Acquisition de véhicules tout-terrain pour la Direction Régionale de l'Agriculture","gouvernement.gov.bf","VALID","Marché public standard - à valider"
"mock-20","Travaux de réfection de la route nationale RN1 - Tronçon Ouagadougou-Kaya","equipement.gov.bf","VALID","Marché public standard - à valider"
"mock-21","Soutenance de thèse de Master en Informatique - Université Joseph Ki-Zerbo","dgcmef.gov.bf","REJECTED","Événement académique - à rejeter"
"mock-22","Communiqué de presse - Nomination du nouveau Directeur Général des Impôts","arcop.bf","REJECTED","Communication administrative - à rejeter"
"mock-23","Avis de décès - Rappel à Dieu de l'ancien Ministre de l'Agriculture","sante.gov.bf","REJECTED","Événement personnel/officiel - à rejeter"
"mock-24","Cérémonie d'inauguration du nouveau complexe sportif de Bobo-Dioulasso","infrastructures.gov.bf","REJECTED","Événement personnel/officiel - à rejeter"
"mock-25","Décret N°2024-001 portant nomination au sein du Ministère des Finances","agriculture.gov.bf","REJECTED","Communication administrative - à rejeter"
"mock-26","Prestation de formation en gestion de projet pour les cadres du Ministère","univ-ouaga.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-27","Étude de faisabilité pour la construction du pont de Kongoussi","finances.gov.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-28","Session de formation sur les marchés publics pour les agents comptables","info.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-29","Évaluation des besoins en infrastructures sanitaires dans la région du Sahel","gouvernement.gov.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-30","Rapport d'étude sur l'amélioration du système d'approvisionnement en eau","equipement.gov.bf","REVIEW","Classification incertaine - révision recommandée"
"mock-31","Appel d'offres pour fourniture de matériel informatique au profit du Ministère de la Santé","dgcmef.gov.bf","VALID","Marché public standard - à valider"
"mock-32","Demande de cotation pour travaux de construction d'un centre de santé à Koudougou","arcop.bf","VALID","Marché public standard - à valider"
"mock-33","Avis de recrutement - Prestation de gardiennage pour bâtiments administratifs","sante.gov.bf","REVIEW","Classification incertaine - révision recommandée"
"mock-34","Acquisition de véhicules tout-terrain pour la Direction Régionale de l'Agriculture","infrastructures.gov.bf","VALID","Marché public standard - à valider"
"mock-35","Travaux de réfection de la route nationale RN1 - Tronçon Ouagadougou-Kaya","agriculture.gov.bf","VALID","Marché public standard - à valider"
"mock-36","Soutenance de thèse de Master en Informatique - Université Joseph Ki-Zerbo","univ-ouaga.bf","REJECTED","Événement académique - à rejeter"
"mock-37","Communiqué de presse - Nomination du nouveau Directeur Général des Impôts","finances.gov.bf","REJECTED","Communication administrative - à rejeter"
"mock-38","Avis de décès - Rappel à Dieu de l'ancien Ministre de l'Agriculture","info.bf","REJECTED","Événement personnel/officiel - à rejeter"
"mock-39","Cérémonie d'inauguration du nouveau complexe sportif de Bobo-Dioulasso","gouvernement.gov.bf","REJECTED","Événement personnel/officiel - à rejeter"
"mock-40","Décret N°2024-001 portant nomination au sein du Ministère des Finances","equipement.gov.bf","REJECTED","Communication administrative - à rejeter"
"mock-41","Prestation de formation en gestion de projet pour les cadres du Ministère","dgcmef.gov.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-42","Étude de faisabilité pour la construction du pont de Kongoussi","arcop.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-43","Session de formation sur les marchés publics pour les agents comptables","sante.gov.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-44","Évaluation des besoins en infrastructures sanitaires dans la région du Sahel","infrastructures.gov.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-45","Rapport d'étude sur l'amélioration du système d'approvisionnement en eau","agriculture.gov.bf","REVIEW","Classification incertaine - révision recommandée"
"mock-46","Appel d'offres pour fourniture de matériel informatique au profit du Ministère de la Santé","univ-ouaga.bf","VALID","Marché public standard - à valider"
"mock-47","Demande de cotation pour travaux de construction d'un centre de santé à Koudougou","finances.gov.bf","VALID","Marché public standard - à valider"
"mock-48","Avis de recrutement - Prestation de gardiennage pour bâtiments administratifs","info.bf","REVIEW","Classification incertaine - révision recommandée"
"mock-49","Acquisition de véhicules tout-terrain pour la Direction Régionale de l'Agriculture","gouvernement.gov.bf","VALID","Marché public standard - à valider"
"mock-50","Travaux de réfection de la route nationale RN1 - Tronçon Ouagadougou-Kaya","equipement.gov.bf","VALID","Marché public standard - à valider"
